,Unnamed: 0,Incident Number,Incident Date,Reason for Report,Impact of Incident,Country,State,County,City,Product Registration Number(s),Product Names,PC Codes,Active Ingredient(s),Overall Submission Description (may describe multiple incidents),clean
14667,14667,034185-00001,06/27/2019,Adverse Reaction,HD - Human - Minor,US,CA,King,06272021,,Pht Latron B-1956 ,,Modified phthalic glycerol alkyd resin,"RD: On June 27, 2019, between 4:00 and 4:30am, property operator employees began making a ground
application of non-restricted pesticides to a nectarine orchard. At approximately 5:30am, 21 farm
labor contractor (FLC) employees began harvesting in a plum orchard located adjacent to the nectarine orchard being sprayed. At around 7:00 to 7:30am, the fieldworkers started to detect an odor and some of the workers also saw the airblast sprayers making the application and reported having felt drift. 14 of the fieldworkers reported experiencing symptoms, of which 7 were taken to seek medical attention.","rd: on june 27, 2019, 4:00 4:30am, property operator employees began making ground application non-restricted pesticides nectarine orchard. at approximately 5:30am, 21 farm labor contractor (flc) employees began harvesting plum orchard located adjacent nectarine orchard sprayed. at around 7:00 7:30am, fieldworkers started detect odor workers also saw airblast sprayers making application reported felt drift. 14 fieldworkers reported experiencing symptoms, 7 taken seek medical attention."
14668,14668,034185-00001,06/27/2019,Adverse Reaction,HD - Human - Minor,US,CA,King,06272021,062719-00541,Delegate Wg Insecticide,110007,Spinetoram (amixture of spinetoram-J and spinetoram-L),"RD: On June 27, 2019, between 4:00 and 4:30am, property operator employees began making a ground
application of non-restricted pesticides to a nectarine orchard. At approximately 5:30am, 21 farm
labor contractor (FLC) employees began harvesting in a plum orchard located adjacent to the nectarine orchard being sprayed. At around 7:00 to 7:30am, the fieldworkers started to detect an odor and some of the workers also saw the airblast sprayers making the application and reported having felt drift. 14 of the fieldworkers reported experiencing symptoms, of which 7 were taken to seek medical attention.","rd: on june 27, 2019, 4:00 4:30am, property operator employees began making ground application non-restricted pesticides nectarine orchard. at approximately 5:30am, 21 farm labor contractor (flc) employees began harvesting plum orchard located adjacent nectarine orchard sprayed. at around 7:00 7:30am, fieldworkers started detect odor workers also saw airblast sprayers making application reported felt drift. 14 fieldworkers reported experiencing symptoms, 7 taken seek medical attention."
14669,14669,034185-00001,06/27/2019,Adverse Reaction,HD - Human - Minor,US,CA,King,06272021,042750-00211,Propi-Star 4e,122101,Propiconazole,"RD: On June 27, 2019, between 4:00 and 4:30am, property operator employees began making a ground
application of non-restricted pesticides to a nectarine orchard. At approximately 5:30am, 21 farm
labor contractor (FLC) employees began harvesting in a plum orchard located adjacent to the nectarine orchard being sprayed. At around 7:00 to 7:30am, the fieldworkers started to detect an odor and some of the workers also saw the airblast sprayers making the application and reported having felt drift. 14 of the fieldworkers reported experiencing symptoms, of which 7 were taken to seek medical attention.","rd: on june 27, 2019, 4:00 4:30am, property operator employees began making ground application non-restricted pesticides nectarine orchard. at approximately 5:30am, 21 farm labor contractor (flc) employees began harvesting plum orchard located adjacent nectarine orchard sprayed. at around 7:00 7:30am, fieldworkers started detect odor workers also saw airblast sprayers making application reported felt drift. 14 fieldworkers reported experiencing symptoms, 7 taken seek medical attention."
14670,14670,034186-00001,12/01/2020,Lack of Efficacy,F - Other,BR,,,,,,006599,"Bacillus thuringiensis Vip3Aa20 protein encoded by vector pNOV1300 in event MIR162 corn (SYN-IR162-4), % dw","Syngenta: In December 2020, Syngenta learned that caterpillars of the genus Helicoverpa were causing damage to hybrid corn cobs containing event MIR162; the corn event that expresses the Vip3Aa20 protein. Syngenta confirmed the occurrence of damage caused by corn earworm on corn crops containing MIR162 in the Brazilian states of Maranhão, Piauí, Tocantins and Pará. (JK)","syngenta: in december 2020, syngenta learned caterpillars genus helicoverpa causing damage hybrid corn cobs containing event mir162; corn event expresses vip3aa20 protein. syngenta confirmed occurrence damage caused corn earworm corn crops containing mir162 brazilian states maranhão, piauí, tocantins pará. (jk)"
14672,14672,034188-00001,06/21/2021,Adverse Reaction,HE - Human - Unspecified,US,CA,Napa,,,Unknown,,UNKNOWN,"RD: June 2021, 8 farm labor contractor employees complained of symptoms while working in a vineyard. Napa County is working to secure application specific information from the local vineyard company and
will follow up interviews of the workers.","rd: june 2021, 8 farm labor contractor employees complained symptoms working vineyard. napa county working secure application specific information local vineyard company follow interviews workers."
14673,14673,034189-00001,06/17/2021,Adverse Reaction,HD - Human - Minor,US,CA,Sutter,Live Oak,059639-00209,Asana Xl Insecticide,109303,Esfenvalerate,"RD: On June 17, 2021, the Sutter County Agricultural Commissioner's (CAC) office received a complaint
from the California System for Pesticide Incident Reporting (CASPIR) from a family of a potential
pesticide exposure. An application occurred directly across Broadway in a walnut orchard. The
family reported they smelled a strong petroleum odor and the father, mother and son experienced
burning throat, burning eyes, headache and nausea.","rd: on june 17, 2021, sutter county agricultural commissioner's (cac) office received complaint california system pesticide incident reporting (caspir) family potential pesticide exposure. an application occurred directly across broadway walnut orchard. the family reported smelled strong petroleum odor father, mother son experienced burning throat, burning eyes, headache nausea."
14674,14674,034189-00001,06/17/2021,Adverse Reaction,HD - Human - Minor,US,CA,Sutter,Live Oak,066222-00047,Apollo Sc Ovicide/Miticide,125501,Clofentezine,"RD: On June 17, 2021, the Sutter County Agricultural Commissioner's (CAC) office received a complaint
from the California System for Pesticide Incident Reporting (CASPIR) from a family of a potential
pesticide exposure. An application occurred directly across Broadway in a walnut orchard. The
family reported they smelled a strong petroleum odor and the father, mother and son experienced
burning throat, burning eyes, headache and nausea.","rd: on june 17, 2021, sutter county agricultural commissioner's (cac) office received complaint california system pesticide incident reporting (caspir) family potential pesticide exposure. an application occurred directly across broadway walnut orchard. the family reported smelled strong petroleum odor father, mother son experienced burning throat, burning eyes, headache nausea."
14675,14675,034191-00001,06/09/2021,Adverse Reaction,ON - Other Nontarget,US,CA,Tera Bella,,059639-00108,Tetrasan 5 Wdg,107091,Etoxazole,"NPIC: A beekeeper reported the death of about 23 hives after the application of Entrust (active ingredient spinosad), Tetrasan (active ingredient etoxazole), and
Etoxazole (active ingredient etoxazole) on a 2-3 acre research test plot.","npic: a beekeeper reported death 23 hives application entrust (active ingredient spinosad), tetrasan (active ingredient etoxazole), etoxazole (active ingredient etoxazole) 2-3 acre research test plot."
14676,14676,034191-00001,06/09/2021,Adverse Reaction,ON - Other Nontarget,US,CA,Tera Bella,,059639-00107,Etoxazole Technical,107091,Etoxazole,"NPIC: A beekeeper reported the death of about 23 hives after the application of Entrust (active ingredient spinosad), Tetrasan (active ingredient etoxazole), and
Etoxazole (active ingredient etoxazole) on a 2-3 acre research test plot.","npic: a beekeeper reported death 23 hives application entrust (active ingredient spinosad), tetrasan (active ingredient etoxazole), etoxazole (active ingredient etoxazole) 2-3 acre research test plot."
14677,14677,034191-00001,06/09/2021,Adverse Reaction,ON - Other Nontarget,US,CA,Tera Bella,,062719-00282,Entrust,110003,Spinosad,"NPIC: A beekeeper reported the death of about 23 hives after the application of Entrust (active ingredient spinosad), Tetrasan (active ingredient etoxazole), and
Etoxazole (active ingredient etoxazole) on a 2-3 acre research test plot.","npic: a beekeeper reported death 23 hives application entrust (active ingredient spinosad), tetrasan (active ingredient etoxazole), etoxazole (active ingredient etoxazole) 2-3 acre research test plot."
14678,14678,034192-00001,06/01/2021,Adverse Reaction,ON - Other Nontarget,US,CA,Fresno,,,Unknown,,UNKNOWN,"Region 9: On June 15, 2021, a beekeeper contacted the Fresno County Agricultural Commissioner's Office
(CAC) to report dead bees at hives situated in a Kiwi orchard located in Fresno County. The beekeeper was provided a copy of a Report of Loss, Nonperformance, or Damage, but would not give an estimated value to the loss of his bees. The beekeeper thought the incident may haveoccurred between June 1, 2021, and June 14, 2021.","region 9: on june 15, 2021, beekeeper contacted fresno county agricultural commissioner's office (cac) report dead bees hives situated kiwi orchard located fresno county. the beekeeper provided copy report loss, nonperformance, damage, would give estimated value loss bees. the beekeeper thought incident may haveoccurred june 1, 2021, june 14, 2021."
14679,14679,034212-00001,06/01/2021,Adverse Reaction,ON - Other Nontarget,US,MO,,Platte City,,,,UNKNOWN,"EFED: The beekeeper suspected that the loss may
have been associated with a mosquito control effort; however, no specific pesticide is reported.","efed: the beekeeper suspected loss may associated mosquito control effort; however, specific pesticide reported."
14682,14682,034216-00001,05/15/2021,Adverse Reaction,"DD - Domestic Animal - Minor, HC - Human - Moderate, HD - Human - Minor, P - Plant Damage (pre 1998 reg or undetermined)",US,MI,,Mayville,,Roundup Powermax ,"103613, 417300","Glycine, N-(phosphonomethyl)- potassium salt, Glyphosate","NPIC: A 12-year old boy experienced respiratory
irritation (dry mouth and sore throat) after inhaling Roundup PowerMax (active ingredient glyphosate); Verdict (active ingredients saflufenacil, dimethenamid) on a neighboring soybean farm. There were also symptoms reported for his mother and a dog, as well as damage to their vegetable
garden.","npic: a 12-year old boy experienced respiratory irritation (dry mouth sore throat) inhaling roundup powermax (active ingredient glyphosate); verdict (active ingredients saflufenacil, dimethenamid) neighboring soybean farm. there also symptoms reported mother dog, well damage vegetable garden."
14683,14683,034216-00001,05/15/2021,Adverse Reaction,"DD - Domestic Animal - Minor, HC - Human - Moderate, HD - Human - Minor, P - Plant Damage (pre 1998 reg or undetermined)",US,MI,,Mayville,,Verdict,"118203, 129051","Saflufenacil, Dimethenamid","NPIC: A 12-year old boy experienced respiratory
irritation (dry mouth and sore throat) after inhaling Roundup PowerMax (active ingredient glyphosate); Verdict (active ingredients saflufenacil, dimethenamid) on a neighboring soybean farm. There were also symptoms reported for his mother and a dog, as well as damage to their vegetable
garden.","npic: a 12-year old boy experienced respiratory irritation (dry mouth sore throat) inhaling roundup powermax (active ingredient glyphosate); verdict (active ingredients saflufenacil, dimethenamid) neighboring soybean farm. there also symptoms reported mother dog, well damage vegetable garden."
14705,14705,034224-00001,06/02/2021,Adverse Reaction,HD - Human - Minor,US,CA,Kern,,,Hydrochloric Acid,045901,Hydrochloric acid,"Region 9: Update of I034150. Includes 1 H-D. On June 2, 2021, a 31 year old male, while at one of his work delivery sites, accidentally transferred hydrochloric acid from his 200-gallon tanker into a bleach (sodium hypochlorite) holding tank. The 31 year old male was exposed to the off-gassing of the pesticide mixture for approximately 2-5 minutes and started experiencing shortness of breath, chest pain and wheezing. He arrived at Bakersfield Memorial Hospital for care and was admitted.  
","region 9: update i034150. includes 1 h-d. on june 2, 2021, 31 year old male, one work delivery sites, accidentally transferred hydrochloric acid 200-gallon tanker bleach (sodium hypochlorite) holding tank. the 31 year old male exposed off-gassing pesticide mixture approximately 2-5 minutes started experiencing shortness breath, chest pain wheezing. he arrived bakersfield memorial hospital care admitted."
14706,14706,034224-00001,06/02/2021,Adverse Reaction,HD - Human - Minor,US,CA,Kern,,,Sodium Hypochlorite,014703,Sodium hypochlorite,"Region 9: Update of I034150. Includes 1 H-D. On June 2, 2021, a 31 year old male, while at one of his work delivery sites, accidentally transferred hydrochloric acid from his 200-gallon tanker into a bleach (sodium hypochlorite) holding tank. The 31 year old male was exposed to the off-gassing of the pesticide mixture for approximately 2-5 minutes and started experiencing shortness of breath, chest pain and wheezing. He arrived at Bakersfield Memorial Hospital for care and was admitted.  
","region 9: update i034150. includes 1 h-d. on june 2, 2021, 31 year old male, one work delivery sites, accidentally transferred hydrochloric acid 200-gallon tanker bleach (sodium hypochlorite) holding tank. the 31 year old male exposed off-gassing pesticide mixture approximately 2-5 minutes started experiencing shortness breath, chest pain wheezing. he arrived bakersfield memorial hospital care admitted."
14722,14722,034231-00001,05/19/2021,Adverse Reaction,HC - Human - Moderate,US,CA,Imperial,,045729-50016,Yellow Out,005601,Diammonium sulfate,"Region 9: On May 20, 2021, the California Poison Control System issued a Pesticide Incident Report (PIR) about apesticide exposure incident that occurred on May 19, 2021. A 62-year-old male, who worked as a pool cleaner, added ammonium sulfate to a pool pump that contained chlorinated water, which resulted in fumes,bubbling, and a small explosion. The victim experienced pesticide related symptoms including burning sensation and redness to his skin, shortness of breath, sore throat, and coughing. That same day, the victim was admitted to the hospital for chemical pneumonitis.","region 9: on may 20, 2021, california poison control system issued pesticide incident report (pir) apesticide exposure incident occurred may 19, 2021. a 62-year-old male, worked pool cleaner, added ammonium sulfate pool pump contained chlorinated water, resulted fumes,bubbling, small explosion. the victim experienced pesticide related symptoms including burning sensation redness skin, shortness breath, sore throat, coughing. that day, victim admitted hospital chemical pneumonitis."
14748,14748,034243-00001,06/25/2021,Adverse Reaction,"HC - Human - Moderate, P - Plant Damage (pre 1998 reg or undetermined), PA - Plant Damage - Major",US,ID,,Boise,,,020501,Chlorine,"I034NPIC: A resident reported the hospitalization of 14 people, on-site treatment of 28 others, and a shelter-in-place order after two unknown pool chemicals were incorrectly mixed. ""Chlorine"" was the only ingredient known by the caller, who was actually calling NPIC to ask about risks to edible plants.","i034npic: a resident reported hospitalization 14 people, on-site treatment 28 others, shelter-in-place order two unknown pool chemicals incorrectly mixed. ""chlorine"" ingredient known caller, actually calling npic ask risks edible plants."
14749,14749,034243-00001,06/25/2021,Adverse Reaction,"HC - Human - Moderate, P - Plant Damage (pre 1998 reg or undetermined), PA - Plant Damage - Major",US,ID,,Boise,,,,Unknown,"I034NPIC: A resident reported the hospitalization of 14 people, on-site treatment of 28 others, and a shelter-in-place order after two unknown pool chemicals were incorrectly mixed. ""Chlorine"" was the only ingredient known by the caller, who was actually calling NPIC to ask about risks to edible plants.","i034npic: a resident reported hospitalization 14 people, on-site treatment 28 others, shelter-in-place order two unknown pool chemicals incorrectly mixed. ""chlorine"" ingredient known caller, actually calling npic ask risks edible plants."
14750,14750,034244-00001,07/28/2020,Adverse Reaction,"HE - Human - Unspecified, ON - Other Nontarget",US,IL,,Decatur,042750-00289,Cover Xl,"122101, 128810","Propiconazole, Azoxystrobin","EFED: On July 28, 2021 Cover XL was applied in violation of the label, bees and beekeeper.","efed: on july 28, 2021 cover xl applied violation label, bees beekeeper."
14751,14751,034245-00001,06/18/2021,Adverse Reaction,ON - Other Nontarget,US,CA,Fresno,,000264-01104,Leverage 360 Insecticide,"118831, 129099","beta-Cyfluthrin, Imidacloprid","Region 9: On June 18, 2021, the Rose Honey Company placed ninety-six hives on the southwest corner of Main Lift (canal) and Highway 33, near Mendota, California. On July 1, 2021, an employee of Rose Honey Company reported to the apiary owner that a possible pesticide exposure had occurred. (JK)","region 9: on june 18, 2021, rose honey company placed ninety-six hives southwest corner main lift (canal) highway 33, near mendota, california. on july 1, 2021, employee rose honey company reported apiary owner possible pesticide exposure occurred. (jk)"
14752,14752,034245-00001,06/18/2021,Adverse Reaction,ON - Other Nontarget,US,CA,Fresno,,084229-00002,Timectin 0.15 Ec Ag Insecticide/Miticide,122804,Abamectin,"Region 9: On June 18, 2021, the Rose Honey Company placed ninety-six hives on the southwest corner of Main Lift (canal) and Highway 33, near Mendota, California. On July 1, 2021, an employee of Rose Honey Company reported to the apiary owner that a possible pesticide exposure had occurred. (JK)","region 9: on june 18, 2021, rose honey company placed ninety-six hives southwest corner main lift (canal) highway 33, near mendota, california. on july 1, 2021, employee rose honey company reported apiary owner possible pesticide exposure occurred. (jk)"
14753,14753,034245-00001,06/18/2021,Adverse Reaction,ON - Other Nontarget,US,CA,Fresno,,066222-00035,Diamond,124002,Novaluron,"Region 9: On June 18, 2021, the Rose Honey Company placed ninety-six hives on the southwest corner of Main Lift (canal) and Highway 33, near Mendota, California. On July 1, 2021, an employee of Rose Honey Company reported to the apiary owner that a possible pesticide exposure had occurred. (JK)","region 9: on june 18, 2021, rose honey company placed ninety-six hives southwest corner main lift (canal) highway 33, near mendota, california. on july 1, 2021, employee rose honey company reported apiary owner possible pesticide exposure occurred. (jk)"
14754,14754,034246-00001,06/30/2021,Adverse Reaction,HD - Human - Minor,US,CA,Los Angeles,,,Cell Block 64 Disinfectant,,Unknown,"Region 9: On July 1, 2021, the California Poison Control system issued a Pesticide Incident Report (PIR) for a 45-year-old male inmate at Lancaster State Prison who accidentally ingested 6-8 ounces of Cell Block 64 disinfectant. The victim was transfered to Palmdale Regional Medical Center with symptoms of abdomen pain. (JK)","region 9: on july 1, 2021, california poison control system issued pesticide incident report (pir) 45-year-old male inmate lancaster state prison accidentally ingested 6-8 ounces cell block 64 disinfectant. the victim transfered palmdale regional medical center symptoms abdomen pain. (jk)"
14758,14758,034257-00001,05/29/2021,Adverse Reaction,"DA - Domestic Animal - Fatality, ON - Other Nontarget",US,GA,,Snellville,000100-01066,Patrol,128897,lambda-Cyhalothrin,"EFED: Georgia Department of Agriculture on the bee kill incident reported on May 29, 2021. The pesticides applied included lamda cyhalothrin, fipronil and deltamethrin. (RM)
","efed: georgia department agriculture bee kill incident reported may 29, 2021. the pesticides applied included lamda cyhalothrin, fipronil deltamethrin. (rm)"
14759,14759,034257-00001,05/29/2021,Adverse Reaction,"DA - Domestic Animal - Fatality, ON - Other Nontarget",US,GA,,Snellville,053883-00279,Taurus Sc Termiticide/Insecticide,129121,Fipronil,"EFED: Georgia Department of Agriculture on the bee kill incident reported on May 29, 2021. The pesticides applied included lamda cyhalothrin, fipronil and deltamethrin. (RM)
","efed: georgia department agriculture bee kill incident reported may 29, 2021. the pesticides applied included lamda cyhalothrin, fipronil deltamethrin. (rm)"
14760,14760,034257-00001,05/29/2021,Adverse Reaction,"DA - Domestic Animal - Fatality, ON - Other Nontarget",US,GA,,Snellville,000432-01514,Suspend Polyzone,097805,Deltamethrin,"EFED: Georgia Department of Agriculture on the bee kill incident reported on May 29, 2021. The pesticides applied included lamda cyhalothrin, fipronil and deltamethrin. (RM)
","efed: georgia department agriculture bee kill incident reported may 29, 2021. the pesticides applied included lamda cyhalothrin, fipronil deltamethrin. (rm)"
14772,14772,034265-00001,06/17/2021,Adverse Reaction,HD - Human - Minor,US,CA,Sutter,,059639-00209,Asana Xl Insecticide,109303,Esfenvalerate,"Region 9: Update of I034189. On June 17, 2021, the Sutter County Agricultural Commissioner's (CAC) office received a complaint from the California System for Pesticide Incident Reporting (CASPIR) from a family for a potential pesticide exposure. An application occurred directly across the street in a walnut orchard. The family reported they smelled a strong petroleum odor and the father, mother and son experienced burning throat, burning eyes, headache and nausea. (JK)","region 9: update i034189. on june 17, 2021, sutter county agricultural commissioner's (cac) office received complaint california system pesticide incident reporting (caspir) family potential pesticide exposure. an application occurred directly across street walnut orchard. the family reported smelled strong petroleum odor father, mother son experienced burning throat, burning eyes, headache nausea. (jk)"
14773,14773,034265-00001,06/17/2021,Adverse Reaction,HD - Human - Minor,US,CA,Sutter,,066222-00047,Apollo Sc Ovicide/Miticide,125501,Clofentezine,"Region 9: Update of I034189. On June 17, 2021, the Sutter County Agricultural Commissioner's (CAC) office received a complaint from the California System for Pesticide Incident Reporting (CASPIR) from a family for a potential pesticide exposure. An application occurred directly across the street in a walnut orchard. The family reported they smelled a strong petroleum odor and the father, mother and son experienced burning throat, burning eyes, headache and nausea. (JK)","region 9: update i034189. on june 17, 2021, sutter county agricultural commissioner's (cac) office received complaint california system pesticide incident reporting (caspir) family potential pesticide exposure. an application occurred directly across street walnut orchard. the family reported smelled strong petroleum odor father, mother son experienced burning throat, burning eyes, headache nausea. (jk)"
14774,14774,034266-00001,06/05/2021,Adverse Reaction,HD - Human - Minor,US,CA,Napa,,000264-01050,Movento,392201,Spirotetramat,Region 9: Included 1 H-D. Symptoms include rash. multiple fieldworkers involved. (JK),region 9: included 1 h-d. symptoms include rash. multiple fieldworkers involved. (jk)
14775,14775,034266-00001,06/05/2021,Adverse Reaction,HD - Human - Minor,US,CA,Napa,,062719-00375,Quintec,055459,Quinoxyfen,Region 9: Included 1 H-D. Symptoms include rash. multiple fieldworkers involved. (JK),region 9: included 1 h-d. symptoms include rash. multiple fieldworkers involved. (jk)
14776,14776,034266-00001,06/05/2021,Adverse Reaction,HD - Human - Minor,US,CA,Napa,,051036-00352-002935,Sulfur Df,077501,Sulfur,Region 9: Included 1 H-D. Symptoms include rash. multiple fieldworkers involved. (JK),region 9: included 1 h-d. symptoms include rash. multiple fieldworkers involved. (jk)
14777,14777,034266-00001,06/05/2021,Adverse Reaction,HD - Human - Minor,US,CA,Napa,,002935-50203,Sul-Tac-Ea,900055,Vegetable oil,Region 9: Included 1 H-D. Symptoms include rash. multiple fieldworkers involved. (JK),region 9: included 1 h-d. symptoms include rash. multiple fieldworkers involved. (jk)
14778,14778,034274-00001,07/18/2021,Adverse Reaction,HA - Human Fatality,US,CA,Mendocino,,,Unknown Product,057701,Malathion  (NO INERT USE),"Region 9: On July 20, 2021 Department of Pesticide Regulation (DPR)/ Enforcement Branch was notified by Worker Health and Safety Branch that on July 18, 2021, a 60 year old female sprayed the interior of her house and her skin with unknown amount of malathion in an attempt to self harm. The patient was admitted to Howard Memorial Hospital on July 18, 2021. The patient passed away in the hospital. (JK)","region 9: on july 20, 2021 department pesticide regulation (dpr)/ enforcement branch notified worker health safety branch july 18, 2021, 60 year old female sprayed interior house skin unknown amount malathion attempt self harm. the patient admitted howard memorial hospital july 18, 2021. the patient passed away hospital. (jk)"
14781,14781,034279-00001,07/24/2021,Adverse Reaction,HD - Human - Minor,US,CA,Monterey,,000264-01090,Luna Sensation,"080302, 129112","Fluopyram, Trifloxystrobin","Region 9: On July 24, at approximately 6:00 am, Wilbur-Ellis began an aerial (helicopter) application of Luna Sensation, Radiant SC, S-Fenvalostar Insecticide, and Response Activator Adjuvant to a 32 acres artichoke field. The pesticide application was completed at approximately 7:00 am.  At approximately 7:00 am, a crew of 38 fieldworkers began harvesting strawberries in a field located approximately. 13 miles to the south west of the application site. Some of the fieldworkers reported to their supervisor that they were experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, and vomiting. (JK)","region 9: on july 24, approximately 6:00 am, wilbur-ellis began aerial (helicopter) application luna sensation, radiant sc, s-fenvalostar insecticide, response activator adjuvant 32 acres artichoke field. the pesticide application completed approximately 7:00 am. at approximately 7:00 am, crew 38 fieldworkers began harvesting strawberries field located approximately. 13 miles south west application site. some fieldworkers reported supervisor experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, vomiting. (jk)"
14782,14782,034279-00001,07/24/2021,Adverse Reaction,HD - Human - Minor,US,CA,Monterey,,071532-00021-091026,S-Fenvalostar,109303,Esfenvalerate,"Region 9: On July 24, at approximately 6:00 am, Wilbur-Ellis began an aerial (helicopter) application of Luna Sensation, Radiant SC, S-Fenvalostar Insecticide, and Response Activator Adjuvant to a 32 acres artichoke field. The pesticide application was completed at approximately 7:00 am.  At approximately 7:00 am, a crew of 38 fieldworkers began harvesting strawberries in a field located approximately. 13 miles to the south west of the application site. Some of the fieldworkers reported to their supervisor that they were experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, and vomiting. (JK)","region 9: on july 24, approximately 6:00 am, wilbur-ellis began aerial (helicopter) application luna sensation, radiant sc, s-fenvalostar insecticide, response activator adjuvant 32 acres artichoke field. the pesticide application completed approximately 7:00 am. at approximately 7:00 am, crew 38 fieldworkers began harvesting strawberries field located approximately. 13 miles south west application site. some fieldworkers reported supervisor experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, vomiting. (jk)"
14783,14783,034279-00001,07/24/2021,Adverse Reaction,HD - Human - Minor,US,CA,Monterey,,062719-00545,Radiant Sc Insecticide,110007,Spinetoram (amixture of spinetoram-J and spinetoram-L),"Region 9: On July 24, at approximately 6:00 am, Wilbur-Ellis began an aerial (helicopter) application of Luna Sensation, Radiant SC, S-Fenvalostar Insecticide, and Response Activator Adjuvant to a 32 acres artichoke field. The pesticide application was completed at approximately 7:00 am.  At approximately 7:00 am, a crew of 38 fieldworkers began harvesting strawberries in a field located approximately. 13 miles to the south west of the application site. Some of the fieldworkers reported to their supervisor that they were experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, and vomiting. (JK)","region 9: on july 24, approximately 6:00 am, wilbur-ellis began aerial (helicopter) application luna sensation, radiant sc, s-fenvalostar insecticide, response activator adjuvant 32 acres artichoke field. the pesticide application completed approximately 7:00 am. at approximately 7:00 am, crew 38 fieldworkers began harvesting strawberries field located approximately. 13 miles south west application site. some fieldworkers reported supervisor experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, vomiting. (jk)"
14784,14784,034279-00001,07/24/2021,Adverse Reaction,HD - Human - Minor,US,CA,Monterey,,037686-50001,Response Activator Adjuvant ,,"Methyl Esters of Fatty Acids, N, N-Bis 2-(omega-hydroxypolyoxyethelyne)ethylalkylamine, Tall Oil Fatty Acids","Region 9: On July 24, at approximately 6:00 am, Wilbur-Ellis began an aerial (helicopter) application of Luna Sensation, Radiant SC, S-Fenvalostar Insecticide, and Response Activator Adjuvant to a 32 acres artichoke field. The pesticide application was completed at approximately 7:00 am.  At approximately 7:00 am, a crew of 38 fieldworkers began harvesting strawberries in a field located approximately. 13 miles to the south west of the application site. Some of the fieldworkers reported to their supervisor that they were experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, and vomiting. (JK)","region 9: on july 24, approximately 6:00 am, wilbur-ellis began aerial (helicopter) application luna sensation, radiant sc, s-fenvalostar insecticide, response activator adjuvant 32 acres artichoke field. the pesticide application completed approximately 7:00 am. at approximately 7:00 am, crew 38 fieldworkers began harvesting strawberries field located approximately. 13 miles south west application site. some fieldworkers reported supervisor experiencing symptoms including headache, dizziness, itchy throat, itchy skin, dry mouth, nausea, vomiting. (jk)"
14785,14785,034281-00001,06/05/2021,Adverse Reaction,HD - Human - Minor,US,CA,Sacramento,Sacramento,001021-01674-008845,Hot Shot Bedbug & Flea Fogger,"129032, 067501, 109303, 069001, 057001","Pyriproxyfen, Piperonyl butoxide, Esfenvalerate, Pyrethrins, MGK 264","Region 9: On June 7, 2021 5:25am Sacramento County Agricultural Commissioner's (CAC) office received Pesticide Incident Report (PIR) from the California Poison Control Center stating that on June 5, 2021 at 8:46pm a 64 year old female was admitted to Methodist Hospital/ Mercy Healthcare Sacramento after placing five Hot Shot Bedbug & Flea Foggers, EPA Reg. unknown, at her home located at 11 Oracle Ct. Sacramento, CA 95823 to treat for fleas. She woke up coughing and went to the Emergency Room where she was admitted.(JK)","region 9: on june 7, 2021 5:25am sacramento county agricultural commissioner's (cac) office received pesticide incident report (pir) california poison control center stating june 5, 2021 8:46pm 64 year old female admitted methodist hospital/ mercy healthcare sacramento placing five hot shot bedbug & flea foggers, epa reg. unknown, home located 11 oracle ct. sacramento, ca 95823 treat fleas. she woke coughing went emergency room admitted.(jk)"
14792,14792,034289-00001,08/02/2021,Adverse Reaction,"HD - Human - Minor, PA - Plant Damage - Major",US,VA,,,,,020202,Unknown,"NPIC: A family of three experienced headaches, including their 12- year-old daughter, after a utility company sprayed unknown herbicides near a creek. The NPIC specialist provided contact information for the state pesticide regulatory agency.","npic: a family three experienced headaches, including 12- year-old daughter, utility company sprayed unknown herbicides near creek. the npic specialist provided contact information state pesticide regulatory agency."
14793,14793,034289-00001,08/02/2021,Adverse Reaction,"HD - Human - Minor, PA - Plant Damage - Major",US,VA,,,,,,Unknown,"NPIC: A family of three experienced headaches, including their 12- year-old daughter, after a utility company sprayed unknown herbicides near a creek. The NPIC specialist provided contact information for the state pesticide regulatory agency.","npic: a family three experienced headaches, including 12- year-old daughter, utility company sprayed unknown herbicides near creek. the npic specialist provided contact information state pesticide regulatory agency."
